index,job_title,salary_min,salary_max,company_name,company_location,link
0,Microcomputer Support Specialist 2,"5,498","5,727",City of Burnaby,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=fc9adbf9d548b445&bb=yYtIfmysy8rDW3fnBoxxFNHER9r4uA6nFVMtxDvQ-TW7WXiivGdoRXssC7-dp2IX&xkcb=SoBr67M3H8zbgNWNtJ0KbzkdCdPP&fccid=76a2154a4730180d&vjs=3
1,Software Engineer (Fresh graduates),"80,000","130,000",Arista Networks,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6ccc2ae40ffd088e&bb=h4oz0ke-oQxX_hc0XKjTGpCYQ2KJx_1TjzulUmsbdWJVOrdNzE7zJ3nMC3ek_IIe&xkcb=SoB467M3H8zbgNWNtJ0ObzkdCdPP&fccid=da9c8368867819c9&vjs=3
2,Predictive Modeler,"65,000","110,000",Sitewise Analytics,"Hybrid remote in Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2pP6k9OuB9dVVqjF_PdujusYNLdeVulQvAlytZ7WHPPvy0LJYvvUz6AJAly2PBSkMfuFYFckOckdtimYB3dM6bDyHVVQyAsH4dHEcX6uGhc6SnxDNLbjN3XbouhgphUjAYyi7rclMS1iojhHQrGaVE9jcVakQ72VZ_mzvYnX4fP7ldzdZrBkt1oLtQZyS4Q6BIcKL3rxCtUpk-41DoPjgEo8iHowppVKlIDm5uvFcccxNO5SlrQ9nmL3mUlrCHEc3bDiqAPrpEojQbloFlbwdeMAlpPTPN__ap2SBIPdzYvDtSFdlsJiD0YFT4q5tIvVBd43SWkKkBc22x1eoRvVGrmkbIzi10IQGJP4oVqkdLJz1qsmd860vq_Awn09wp_yZYKgjZyZw9dsek73vFcziHVFdDK71JIv5rw6NpZXE9Ysp_e7wob9Nd2T6mDkqNS4Y5pbjxOznOPHA3bLAh7-lakHuarh9dvMQ-3_XqnX6NM85d1PQpv_QlhVgIW-QY7DWRaB72nakxgEbIHZwqUxlGvjsBgmRtyGI8wGxPQ2LUsGrBQHeEfuq3t1SXqpmmy-siPqCVByMa9Q_NbiQBI88Y7YRcEUAbuFuEctybcB189GyD3WPaYgo&xkcb=SoAG6_M3H8zbg5wlUh0JbzkdCdPP&p=2&fvj=1&vjs=3
3,Software Engineer Graduate (Monetization Technology -Business Integrity)- 2024 Start (BS/MS),"144,000","208,000",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=b55366fc419e311c&bb=h4oz0ke-oQy0StchOF05y8J_f_5lNO6SSjMQ3j-8ctx5hPHu9z8jjUIUTs9nydyA&xkcb=SoAH67M3H8zbgN2NtJ0IbzkdCdPP&fccid=caed318a9335aac0&vjs=3
4,Senior Software Developer (Computer Vision - R&D),"106,000","132,500",LMI Technologies,"Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVyFvn6KNrme0qWK4PNhlu3RlnHL78IF6EgpbnUMzpFdxkMWBhi9_h4NYK7DStx7XrRnnGmhyUXnpI4JfhefOWEjaGzFCUeeDJUknCWZdC80xJnvy_bXPvaWMoPRdPegjVlqBtMtBLNatRIYLiHdPynN5yQOUbffO9xRzoG9L-1qxLs-VmtfuzeL0xbmNpBLw4R4AtteX3wHI4b0FhERSuh9hqlFyeKUIKe7lYUSG4qx0yGgIHx5Fh3L_eVyWEWVaWM5iupgvGblKz9URlPlFdTUrs-mYszGfKElOCeTKJLAVnAO8Umw5sQJYtJiwoxiGtpFqDkS5a_BFTRAnVJP94pSgP03Evj7QFdYVCfxBSI52FSQfKnRVT1TepR8SEvkF2hIUhOglij6yG4fotv_rUIG7SdozhiBzLEFhFiIaEpcQjmOrQF1gdHTkeBOpRAunufXXMqQjsh4RUdC1KW-1AMvSAvTKsXDzkWEFFNu-DTHOQ-gyFOTooc9YMToZI7J0a2NoS9WeWn_WKmAk9ANhEZ_S6ObH4NeuEWICNg_jCdmjgFL0VIfMw0Axg3onRwRuzFOP-m8aRI4K9jmFthOIFQZiiIHcQChkZ2-PkMMMMQ_xegsulNOkkvZcw0zhe1PVil4VlIYDEbt4EUN8u_SOB-ZE7jlkIZagKoxLcw34C_OTHfaNh1p4_r33LsTF-ZigMT7_dynKWoioThcIgBV6r_-4VcVv8rMRgP8g6Lem4IH55crW6BNvZaR0iKMollccMd82lKGFRquY6KVcut5ny3PMIQb7HtTpIFbcwc6s_KFj5ZvQwHhddFGZfhboMcXIlYuw1gR-Ncs7GQ_wU92TyZ6wFnKeE-O9_SzSkJDPXSGN5W9h1obU-96QhfZgkMNxt7LGrT7fuMh7kgKRRwocQwzqMfBEsJSEld0CdoYf4iGgr9Dn3kFGJuYwZk9bg5M103-ZcT1v51d8GL_mFFB64zZ_EyTXXm4k93X0QHcqKmg==&xkcb=SoA86_M3H8zbg5wlUh0PbzkdCdPP&p=4&fvj=0&vjs=3
5,Continuing Track Faculty - Computer Science,"91,800","161,160",University Canada West,"Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQGWWGctp3T19O2azvV0lEdBcoiQYY5TrNmClVDeTrbXC03TL3hmqPP9adzexHl0M4CtJy111ClgocOt5dtQHHf35WHrAQAAdDRXn0OT8Dx3_5kVdhE_Cr3MGbF6L6UaVe3ULm0qZSyUug4Ld6kCVlI4xC0Lj-B3MkD2kB7Zi8jSXoy_tXN08lAeObQAe7kNctnS93nXLkKfKbOYN52a73Uf_S6XDReV4u4rfkFF4d8c4P2FUIKO1BTAkI-PhuuXDOM-qDCTISGKPAPp2bqpqXZnK-4NS5fQYC1oLdF_KblekqWnO_Wli3i7RlV2mMrbG9g-xAdPUh_FNvNLUpkXKmG9yJI-dm755OJlZAZEzIwL1NAWn88eKsR9kG9ryNI79VAtSZB4e346mi0t6GO8w0WBbw8dmw9lTi3WWq_PJeI1vL27k6xVJUsueY7TdmGvvLqi6Vc6ZPha0O1WyHENGDIpsPiTmZBLznXBeJmG5VCHnLNuoM2-5SWc2ypS0wMQU9iU5nznyF4Cnbwn60bk06X4KyO5EBYRYGkWp3xqocpnjmf9TDuPM_gNwilOmDOpEZLl2LQusCjWip5fTtiU0ANNbGsGV9autNXxNyNTFiGjV1CYBmGnIQ9xzlAym1w2nEZ7LWdG7KGX5wWNlv9gWQ&xkcb=SoCI6_M3H8zbg5wlUh0ObzkdCdPP&p=5&fvj=1&vjs=3
6,"Software Engineer, Front End, TikTok Trust and Safety(Canada)","92,160","210,960",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=2183765d06b42172&bb=uFmpcMx10o4yr6OpQZjEElAiTW4fjvj7MwwkcgExEDQ4tAjtSoLQt1MtgbcJ68An&xkcb=SoDl67M3H8zbgM2NtJ0KbzkdCdPP&fccid=caed318a9335aac0&vjs=3
7,Software Developer I (Hybrid),"76,500","119,500",D-Wave Systems,"Hybrid remote in Burnaby, BC",https://ca.indeed.com/rc/clk?jk=51ebe70b04f84ef2&bb=evhgysw2gZxNox2XcRY4_78ot47Kgd85eh-AsTMdys5SmUpbsBXBJS7bCyTzbNBo&xkcb=SoC867M3H8zbgPWNtJ0KbzkdCdPP&fccid=2590d2b9de973e1e&vjs=3
8,High School Senior Mathematics and Computer Science Teacher,"51,000","87,000",Alexander Academy,"Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtgYdHtRYBYzvMg0fi6wWX_M7QERHYjNh4VYmbYzi5w5at78QyYvc6EVnTqt04WU_qHFXf1EsW3BVA_dArPp9jKh_rZxrQeQo3gfUkf2tDHftBy-8l60aes4YMFk5e96LnIu66Z0AjhJj8qog3DSw_hyr-vhfucAHyq94OJLXURVon7jRJf9pR3tSlx8iWT6QwBPyEHPTKjcUfOE6vOG1Xpnw6qB9zCJFf7_0Sru6x1cAnqEWJtBaD_wkMfdXii2MRloRGteB_UJIY-PYf6cA1GNTTV-1YeuI8mIDBJkBfkaQCHW29dWoa3J6O-Kf4CqzClVhoy7Mob6_8WjbQqmlET_8Kqk7tPXL45AEvuB9zVHlP4FBKrxWJCDIgZ32tHcse0r_ZKuB1GSDDMNkaFqsP2wITT9kSJPFytNmQrGfvyK9yM-7kjVMCw-JGbdNKNpJBNrHvvg41CiGf3Z9pxYVPCHpzMyDm7dd8OjBBMySa6xAVZlae2TWmeFX5E9G_3z9ikJwb_kh2eRxEh6Uc8d0NutXgMc7qxXB0e19Z-liUyh-8dNCAaRfp8HFut2FPCsHqUUmUVzkADGpsKKjBLXsj258Pca6GZZNjYAv3cnwqZOLWfL_tVxQMNTa7b1WqjG3wFYwKZxOO6ODxDVcsvsHj6iPEMsQC9s0wJqxKDF6GmtxRS01w3Dyy&xkcb=SoBI6_M3H8zbg5wlUh0DbzkdCdPP&p=8&fvj=1&vjs=3
9,Software Engineer,"93,700","153,900",Electronic Arts,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=eb5ddd8877bc65d9&bb=jckC-1UVdc9gfz-5FtQ1fpBGFR24-TZjkvNx-RKfrtENmOmTRzi3QiGMZov_V3l4&xkcb=SoBN67M3H8zbgP2NtJ0LbzkdCdPP&fccid=617d7f961cfcf54a&vjs=3
