,job_title,salary_min,salary_max,company_name,company_location,link
1,Desktop Support Analyst,"61,154","79,510",University of Victoria,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=e9a2f97d9854d207&bb=wjjIjYIa-T0d5ELsoG867p05x01u0RzLgZUin_oEXvOYe03W7hCq88w9DMXmy5ap&xkcb=SoDA67M3H8oCKBwVXB0LbzkdCdPP&fccid=95737967a35b2629&vjs=3
2,Software Developer,"81,105","115,865",Reliable Controls,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=fd718c76940a182d&bb=sN09nRfrlX9gz7iyvM-y77nje73-Osg0li22ieywNLvtCQsUf39LB_4Qmfz949Lo&xkcb=SoBO67M3H8oCKAQVXB0LbzkdCdPP&fccid=c63ffe612f9a074b&vjs=3
3,Artificial intelligence (AI) analyst,49,none,Cansight Technology Corporation,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=a1fd0ebef37c5d3f&bb=sN09nRfrlX9-hv4-ENLj6yh2q77yGV15pYbb4ZlG-wtp5OVa_VoWkb6LbAZpz-Mu&xkcb=SoBn67M3H8oCKAQVXB0JbzkdCdPP&fccid=9c8bba1dae58a045&cmp=Cansight-Technology-Corporation&ti=Intelligence+Analyst&vjs=3
4,Full Stack Software Engineer,"80,000","110,000",Multivista,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=b29a5427b2602f99&bb=sN09nRfrlX8MU8JVpcOMX0866MMDQpriK53DtMVKn935CFyeXIPNnw3xvFim6vo9&xkcb=SoBd67M3H8oCKAQVXB0PbzkdCdPP&fccid=04eee030f47e01ac&cmp=Multivista&ti=Full+Stack+Developer&vjs=3
5,Salesforce Development Engineer,click link to find,click link to find,Unisys,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=ea563a2f8a6ad11c&bb=fyJRazf84ClQ8tSCocw2AJhIgn6P-SVuwQ3Hlsj4e8fB9KRGyrSMuIEpbzmNl899&xkcb=SoCW67M3H8oCKAwVXB0IbzkdCdPP&fccid=189b4377c880f7e5&vjs=3
6,IT Systems Administrator,"80,000","90,000",CUBE Global Storage,"Saanich, BC",https://ca.indeed.com/rc/clk?jk=4ab5c92c7608d2aa&bb=fyJRazf84Cl5Ocmi-zn4BFD25gbR2Q6QBMzGhR_Nfk-_8jD3VAjg3e7t--qV0aAV&xkcb=SoCs67M3H8oCKAwVXB0ObzkdCdPP&fccid=77566c6e174ae82d&cmp=CUBE-Global-Storage&ti=Systems+Administrator&vjs=3
7,Strategic Project Officer,"77,064","100,235",University of Victoria,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=c6d5838286d178f1&bb=fyJRazf84CmZ-HA7rmBzvttXdSKhxs5FSZalIwZ82lrFCE4Q0X8Ufd-2dm6zCBgO&xkcb=SoCF67M3H8oCKAwVXB0MbzkdCdPP&fccid=95737967a35b2629&vjs=3
8,Senior Application Specialist - M365,"86,200","122,100",BC Pension Corporation,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=7d0117034f70c2c1&bb=tN7aWCXgMCMVu2mj6GCucqBGLBWr1KcE0EmfWb9NmXhomAVDVJR3X7l75q1Nw7St&xkcb=SoBB67M3H8oCKDQVXB0PbzkdCdPP&fccid=e7b1be72b046a76c&vjs=3
9,UI/UX Designer (KnowerTech),"55,000","80,000",LoKnow,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=3e9e469383a70ad5&bb=tN7aWCXgMCP23IYeP55VGzU_0WObJByQE5y_ifKIL9LPPWKVga3OneaqK3RkPAbi&xkcb=SoBo67M3H8oCKDQVXB0NbzkdCdPP&fccid=0ed6e0cc33246d84&cmp=LoKnow&ti=User+Interface+Designer&vjs=3
10,Senior Linux Administrator,49.01,none,Island Health,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=235dc881ab72c02f&bb=tN7aWCXgMCNecOLbAg0a7GJL9e3Uheg_A1G3UfUjKhEMQxzAANutl9qv86oFULxQ&xkcb=SoA167M3H8oCKDQVXB0DbzkdCdPP&fccid=139e079044c36dab&vjs=3
11,Senior Full Stack Developer,"130,000","170,000",Journal Technologies,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=12612f8877380f5c&bb=NxMhy0ViYd7PjcWUT-w1ZWLtQxHub6UrD1_O-apsPB-k67AlvkboC2IFE0PwPGV6&xkcb=SoCj67M3H8oCKDwVXB0KbzkdCdPP&fccid=f9fbdc223d06174a&vjs=3
12,Delivery Lead,"86,200","122,100",BC Pension Corporation,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=e4735a35f5e606e1&bb=NxMhy0ViYd5oelndWzcTeicsN22m-B-Zpbdwi-4HB7fil2gJD4zY-VOTkrfS53Cz&xkcb=SoCK67M3H8oCKDwVXB0IbzkdCdPP&fccid=e7b1be72b046a76c&vjs=3
13,SharePoint Administrator,"81,080","101,349",BC Ferries,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=211a70ab85df7b3f&bb=NxMhy0ViYd5WJWaXwl7jHuwm8UrMhuYMoxA36JkOZCq-08CLkJ0AdGEhc-OipWf8&xkcb=SoCw67M3H8oCKDwVXB0ObzkdCdPP&fccid=f041e48fe88e993f&vjs=3
14,"Specialist, VMWare and Datacenter Operations",44.31,63.69,Island Health,"Victoria, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdhZh5tc8MRMJNR5Ga3YaHN_EkjYhlKZ_L1mFyvlxMhPN6SJPSQ1gGRTzGyT6IRf4HnjTY-_WulTNtZcWA4-QVpWhQnpJlq8P9D1sII9Ucb4XGBYrDdKBDFhYrRAu6A_DKMDkY4cj5AdxhfvP9FfhGrg4625U06Gj8Lmwx834gZ7UfouhdbVue0XxJT0IvPu0FENZHMwm1Ok-gaLSgEawmF2A-jXFPlG2CTAyrR7FjtoC4fGkVWDON0owdF1xA8pcpbBjI6AJpH3FXYpuH36nu9bRygE9A0D7t7MRNODrqoDT2pLCJG0RHpTeHE_SXgBTX0zz6XsVIzRBH9DsRySm-UO9K-z7bWWW58Gxyz2FEK-V0dzpfioY5Jf7xMoDRNi8zN0oytSIbB4UTHSsWyBeU1FRgAyPaDefkuS9_tzvWxHiD32jiZh3nRjdpUx6lFw2hnKyAkToIA7N56CsfYaPbAL3D1lFU6tpt9nu0NKa05rIzDoCsKY0QBdvKGBGY1Fp7AGWlib4waM0Fl03ajtMgCsIurnU9jvxKdH0v0DsXAAVV3dB3q6ywKcVF0EVQUZFO45icugIkZMdnxInjEkWrSQ3WcK57Opw74azep-yQqdcNgMJW0lFbYuI3Z9isHrU=&xkcb=SoCg6_M3H8oCKkQlUh0GbzkdCdPP&p=13&fvj=1&vjs=3
15,"Assistant Director, Digital Services","102,900","136,700",BC Pension Corporation,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=d113ca8629a70699&bb=77in4kDD4AC-3A49WD_T2b9SpUHa2X6oZDJCTGy1F4P4ZLoubFzJ21SUDd8wjhft&xkcb=SoCZ67M3H8oCKCQVXB0LbzkdCdPP&fccid=e7b1be72b046a76c&vjs=3
